Year,Period,State,District,Disease,Animal_Type,Metric,Value,Unit,Source,Notes
2015,2015-16,Maharashtra,,FMD,Cattle/Buffalo/Sheep/Goat/Pig,Outbreaks,0.0,outbreaks,Maharashtra disease-outbreak table,Explicitly reported as zero
2016,2016,Maharashtra,,FMD,,Outbreaks,0.0,outbreaks,Government of India / PIB,State-wise FMD incidence table
2016,2016,Maharashtra,,FMD,,Cases,0.0,attacks,Government of India / PIB,State-wise FMD incidence table
2016,2016,Maharashtra,,FMD,,Deaths,0.0,deaths,Government of India / PIB,State-wise FMD incidence table
2017,2017,Maharashtra,,FMD,,Outbreaks,0.0,outbreaks,Government of India / PIB,State-wise FMD incidence table
2017,2017,Maharashtra,,FMD,,Cases,0.0,attacks,Government of India / PIB,State-wise FMD incidence table
2017,2017,Maharashtra,,FMD,,Deaths,0.0,deaths,Government of India / PIB,State-wise FMD incidence table
2018,2018,Maharashtra,,FMD,,Outbreaks,0.0,outbreaks,Government of India / PIB,State-wise FMD incidence table
2018,2018,Maharashtra,,FMD,,Cases,0.0,attacks,Government of India / PIB,State-wise FMD incidence table
2018,2018,Maharashtra,,FMD,,Deaths,0.0,deaths,Government of India / PIB,State-wise FMD incidence table
2019,2019,Maharashtra,,FMD,,Deaths,22.0,deaths,Government of India,State-wise FMD deaths 2017-2021
2020,2020,Maharashtra,,FMD,,Deaths,0.0,deaths,Government of India,State-wise FMD deaths 2017-2021
2021,2021,Maharashtra,,FMD,,Deaths,0.0,deaths,Government of India,State-wise FMD deaths 2017-2021
2022,2022,Maharashtra,,FMD,,Outbreaks,4.0,outbreaks,Government of India,State-reported FMD outbreaks in Maharashtra
2023,2023,Maharashtra,,FMD,,Outbreaks,4.0,outbreaks,Government of India,State-reported FMD outbreaks in Maharashtra
2024,2024,Maharashtra,,FMD,,Outbreaks,7.0,outbreaks,Government of India,State-reported FMD outbreaks in Maharashtra
2022,2022,Maharashtra,,FMD,Bovine,Deaths,21.0,deaths,Government of India,Bovine FMD deaths
2023,2023,Maharashtra,,FMD,Bovine,Deaths,9.0,deaths,Government of India,Bovine FMD deaths
2020,2020-21,Maharashtra,,FMD,,Vaccination,14700000.0,animals vaccinated,Maharashtra Economic Survey,First FMD vaccination round
2021,2021-22,Maharashtra,,FMD,,Vaccination,16900000.0,animals vaccinated,Maharashtra Economic Survey,Second FMD vaccination round
2022,2022-23,Maharashtra,,FMD,,Vaccination,1922000.0,animals vaccinated,Maharashtra Economic Survey,Up to end of December 2022
2015,2015-16,Maharashtra,,PPR,Sheep/Goat,Outbreaks,21.0,outbreaks,ICAR-NIVEDI/PPR epidemiology study,Part of Maharashtra 2015-16 to 2020-21 series
2016,2016-17,Maharashtra,,PPR,Sheep/Goat,Outbreaks,8.0,outbreaks,ICAR-NIVEDI/PPR epidemiology study,Annual outbreak count
2017,2017-18,Maharashtra,,PPR,Sheep/Goat,Outbreaks,5.0,outbreaks,ICAR-NIVEDI/PPR epidemiology study,Annual outbreak count
2018,2018-19,Maharashtra,,PPR,Sheep/Goat,Outbreaks,25.0,outbreaks,ICAR-NIVEDI/PPR epidemiology study,Annual outbreak count
2019,2019-20,Maharashtra,,PPR,Sheep/Goat,Outbreaks,27.0,outbreaks,ICAR-NIVEDI/PPR epidemiology study,Annual outbreak count
2020,2020-21,Maharashtra,,PPR,Sheep/Goat,Outbreaks,33.0,outbreaks,ICAR-NIVEDI/PPR epidemiology study,Annual outbreak count; 33 outbreaks from 9 districts in 2020
