State,District,Disease,Forecast_Month,Forecast_Risk_Flag,Forecast_Risk_Level,Forecast_Source,Source_URL,Historical_Average_Risk,Historical_Max_Risk,Historical_Records,District_Forecast_Score,Combined_Risk_Score,Combined_Risk_Level,Surveillance_Priority
Maharashtra,Satara,BQ,September 2025,1,HIGH_OR_VERY_HIGH,July 2025 bulletin,ICAR-NIVEDI NADRES v2 Maharashtra September 2025 risk bulletin,47.80472188875551,70.55882352941177,7,100,79.1218887555022,VERY HIGH,URGENT
Maharashtra,Buldana,LSD,September 2025,1,HIGH_OR_VERY_HIGH,July 2025 bulletin,ICAR-NIVEDI NADRES v2 Maharashtra September 2025 risk bulletin,41.74861988410289,85.30600746268657,4,100,76.69944795364115,VERY HIGH,URGENT
Maharashtra,Ahmadnagar,HS,September 2025,1,HIGH_OR_VERY_HIGH,July 2025 bulletin,ICAR-NIVEDI NADRES v2 Maharashtra September 2025 risk bulletin,24.854013050441626,72.62626262626264,14,100,69.94160522017665,HIGH,HIGH
Maharashtra,Kolhapur,HS,September 2025,1,HIGH_OR_VERY_HIGH,July 2025 bulletin,ICAR-NIVEDI NADRES v2 Maharashtra September 2025 risk bulletin,24.854013050441626,72.62626262626264,14,100,69.94160522017665,HIGH,HIGH
Maharashtra,Kolhapur,PPR,September 2025,1,HIGH_OR_VERY_HIGH,July 2025 bulletin,ICAR-NIVEDI NADRES v2 Maharashtra September 2025 risk bulletin,23.099000717352734,61.17599130907115,11,100,69.2396002869411,HIGH,HIGH
Maharashtra,Ahmadnagar,PPR,September 2025,1,HIGH_OR_VERY_HIGH,July 2025 bulletin,ICAR-NIVEDI NADRES v2 Maharashtra September 2025 risk bulletin,23.099000717352734,61.17599130907115,11,100,69.2396002869411,HIGH,HIGH
Maharashtra,Nashik,PPR,September 2025,1,HIGH_OR_VERY_HIGH,July 2025 bulletin,ICAR-NIVEDI NADRES v2 Maharashtra September 2025 risk bulletin,23.099000717352734,61.17599130907115,11,100,69.2396002869411,HIGH,HIGH
Maharashtra,Ahmadnagar,FMD,September 2025,1,HIGH_OR_VERY_HIGH,July 2025 bulletin,ICAR-NIVEDI NADRES v2 Maharashtra September 2025 risk bulletin,23.067909679152006,85.00000000000001,11,100,69.2271638716608,HIGH,HIGH
Maharashtra,Dhule,FMD,September 2025,1,HIGH_OR_VERY_HIGH,July 2025 bulletin,ICAR-NIVEDI NADRES v2 Maharashtra September 2025 risk bulletin,23.067909679152006,85.00000000000001,11,100,69.2271638716608,HIGH,HIGH
Maharashtra,Pune,FMD,September 2025,1,HIGH_OR_VERY_HIGH,July 2025 bulletin,ICAR-NIVEDI NADRES v2 Maharashtra September 2025 risk bulletin,23.067909679152006,85.00000000000001,11,100,69.2271638716608,HIGH,HIGH
