Year,Period,Disease,Animal_Type,Outbreaks,Cases,Deaths,Source,Evidence,Mortality_Rate,Disease_Name
2015,2015-16,FMD,Cattle/Buffalo,0.0,0,0.0,Maharashtra Statistical Booklet 2015-16,Official Maharashtra statistical booklet,,Foot-and-Mouth Disease
2015,2015-16,HS,Cattle/Buffalo,5.0,36,23.0,Maharashtra Statistical Booklet 2015-16,Official Maharashtra statistical booklet,0.6388888888888888,Haemorrhagic Septicaemia
2015,2015-16,BQ,Cattle/Buffalo,2.0,11,10.0,Maharashtra Statistical Booklet 2015-16,Official Maharashtra statistical booklet,0.9090909090909091,Black Quarter
2015,2015-16,PPR,Sheep/Goat,21.0,526,198.0,Maharashtra Statistical Booklet 2015-16,Official Maharashtra statistical booklet,0.376425855513308,Peste des Petits Ruminants
2015,2015-16,HS,Sheep/Goat,3.0,87,34.0,Maharashtra Statistical Booklet 2015-16,Official Maharashtra statistical booklet,0.39080459770114945,Haemorrhagic Septicaemia
2016,2016-17,HS,Cattle/Buffalo,5.0,68,19.0,"Maharashtra Statistical Booklet 2016-17, Table 31",Official Maharashtra statistical booklet,0.27941176470588236,Haemorrhagic Septicaemia
2016,2016-17,PPR,Sheep/Goat,11.0,349,34.0,"Maharashtra Statistical Booklet 2016-17, Table 31",Official Maharashtra statistical booklet,0.09742120343839542,Peste des Petits Ruminants
2016,2016-17,HS,Sheep/Goat,1.0,82,32.0,"Maharashtra Statistical Booklet 2016-17, Table 31",Official Maharashtra statistical booklet,0.3902439024390244,Haemorrhagic Septicaemia
2017,2017-18,BQ,Cattle/Buffalo,2.0,5,4.0,"Maharashtra Statistical Booklet 2017-18, Table 24",Official Maharashtra statistical booklet,0.8,Black Quarter
2017,2017-18,FMD,Cattle/Buffalo,0.0,0,0.0,"Maharashtra Statistical Booklet 2017-18, Table 24",Official Maharashtra statistical booklet,,Foot-and-Mouth Disease
2017,2017-18,PPR,Sheep/Goat,9.0,1296,226.0,"Maharashtra Statistical Booklet 2017-18, Table 24",Official Maharashtra statistical booklet,0.1743827160493827,Peste des Petits Ruminants
2017,2017-18,HS,Sheep/Goat,5.0,977,96.0,"Maharashtra Statistical Booklet 2017-18, Table 24",Official Maharashtra statistical booklet,0.09825997952917093,Haemorrhagic Septicaemia
2017,2017-18,FMD,Sheep/Goat,0.0,0,0.0,"Maharashtra Statistical Booklet 2017-18, Table 24",Official Maharashtra statistical booklet,,Foot-and-Mouth Disease
2018,2018-19,HS,Cattle/Buffalo,6.0,545,52.0,"Maharashtra Statistical Booklet 2018-19, Table 24",Official Maharashtra statistical booklet,0.09541284403669725,Haemorrhagic Septicaemia
2018,2018-19,BQ,Cattle/Buffalo,2.0,15,8.0,"Maharashtra Statistical Booklet 2018-19, Table 24",Official Maharashtra statistical booklet,0.5333333333333333,Black Quarter
2018,2018-19,PPR,Cattle/Buffalo,0.0,0,0.0,"Maharashtra Statistical Booklet 2018-19, Table 24",Official Maharashtra statistical booklet,,Peste des Petits Ruminants
2018,2018-19,FMD,Cattle/Buffalo,12.0,438,22.0,"Maharashtra Statistical Booklet 2018-19, Table 24",Official Maharashtra statistical booklet,0.0502283105022831,Foot-and-Mouth Disease
2018,2018-19,PPR,Sheep/Goat,16.0,708,365.0,"Maharashtra Statistical Booklet 2018-19, Table 24",Official Maharashtra statistical booklet,0.5155367231638418,Peste des Petits Ruminants
2018,2018-19,HS,Sheep/Goat,1.0,990,125.0,"Maharashtra Statistical Booklet 2018-19, Table 24",Official Maharashtra statistical booklet,0.12626262626262627,Haemorrhagic Septicaemia
2018,2018-19,FMD,Sheep/Goat,1.0,14,12.0,"Maharashtra Statistical Booklet 2018-19, Table 24",Official Maharashtra statistical booklet,0.8571428571428571,Foot-and-Mouth Disease
2019,2019-20,HS,Cattle/Buffalo,3.0,7,7.0,"Maharashtra Statistical Booklet 2019-20, Table 24",Official Maharashtra statistical booklet,1.0,Haemorrhagic Septicaemia
