Year,Period,Disease,Animal_Type,Outbreaks,Cases,Deaths,Source,Evidence,Mortality_Rate,Disease_Name,Outbreaks_Score_Base,Cases_Score_Base,Deaths_Score_Base,Outbreak_Score,Case_Score,Death_Score,Years_Ago,Recency_Score,Trend_Score,Trend_Normalized,Risk_Score,Risk_Level
2022,2022-23,LSD,Cattle/Buffalo,4189.0,470824,38198.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,0.0811301038179871,Lumpy Skin Disease,4189.0,470824,38198.0,1.0,1.0,1.0,1,0.5,-0.43879850746268656,0.2806007462686567,85.30600746268657,VERY HIGH
2021,2021-22,FMD,Cattle/Buffalo,35.0,1305,219.0,"Maharashtra Statistical Booklet 2021-22, Table 28",Official Maharashtra statistical booklet,0.167816091954023,Foot-and-Mouth Disease,35.0,1305,219.0,1.0,1.0,1.0,2,0.3333333333333333,0.0,0.5,85.00000000000001,VERY HIGH
2021,2021-22,HS,Cattle/Buffalo,12.0,698,195.0,"Maharashtra Statistical Booklet 2021-22, Table 28",Official Maharashtra statistical booklet,0.2793696275071633,Haemorrhagic Septicaemia,12.0,698,195.0,1.0,0.705050505050505,1.0,2,0.3333333333333333,-1.0,0.0,72.62626262626264,HIGH
2018,2018-19,BQ,Cattle/Buffalo,2.0,15,8.0,"Maharashtra Statistical Booklet 2018-19, Table 24",Official Maharashtra statistical booklet,0.5333333333333333,Black Quarter,2.0,15,8.0,1.0,0.8823529411764706,0.8,5,0.16666666666666666,-1.0,0.0,70.55882352941177,HIGH
2019,2019-20,BQ,Cattle/Buffalo,2.0,17,6.0,"Maharashtra Statistical Booklet 2019-20, Table 24",Official Maharashtra statistical booklet,0.3529411764705882,Black Quarter,2.0,17,6.0,1.0,1.0,0.6,4,0.2,-1.0,0.0,70.0,HIGH
2015,2015-16,BQ,Cattle/Buffalo,2.0,11,10.0,Maharashtra Statistical Booklet 2015-16,Official Maharashtra statistical booklet,0.9090909090909092,Black Quarter,2.0,11,10.0,1.0,0.6470588235294118,1.0,8,0.1111111111111111,-1.0,0.0,67.84313725490198,HIGH
2022,2022-23,PPR,Sheep/Goat,6.0,5554,558.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,0.1004681310767014,Peste des Petits Ruminants,6.0,5554,558.0,0.2857142857142857,1.0,1.0,1,0.5,-0.9790874524714829,0.010456273764258561,61.17599130907115,HIGH
2023,2023-24,LSD,Cattle/Buffalo,3173.0,150402,10811.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,0.0718806930758899,Lumpy Skin Disease,3173.0,150402,10811.0,0.7574600143232275,0.2831578264439329,0.28302528928216136,0,1.0,-0.43879850746268656,0.2806007462686567,53.26925933912494,HIGH
2023,2023-24,FMD,Cattle/Buffalo,11.0,908,57.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,0.0627753303964757,Foot-and-Mouth Disease,11.0,908,57.0,0.3142857142857143,0.6957854406130268,0.2602739726027397,0,1.0,0.0,0.5,52.02868689595191,HIGH
2017,2017-18,HS,Sheep/Goat,5.0,977,96.0,"Maharashtra Statistical Booklet 2017-18, Table 24",Official Maharashtra statistical booklet,0.0982599795291709,Haemorrhagic Septicaemia,5.0,977,96.0,0.4166666666666667,0.9868686868686869,0.49230769230769234,6,0.14285714285714285,-1.0,0.0,49.16072816072816,MODERATE
2017,2017-18,BQ,Cattle/Buffalo,2.0,5,4.0,"Maharashtra Statistical Booklet 2017-18, Table 24",Official Maharashtra statistical booklet,0.8,Black Quarter,2.0,5,4.0,1.0,0.29411764705882354,0.4,6,0.14285714285714285,-1.0,0.0,47.49579831932773,MODERATE
2018,2018-19,HS,Sheep/Goat,1.0,990,125.0,"Maharashtra Statistical Booklet 2018-19, Table 24",Official Maharashtra statistical booklet,0.1262626262626262,Haemorrhagic Septicaemia,1.0,990,125.0,0.08333333333333333,1.0,0.6410256410256411,5,0.16666666666666666,-1.0,0.0,42.820512820512825,MODERATE
2018,2018-19,PPR,Sheep/Goat,16.0,708,365.0,"Maharashtra Statistical Booklet 2018-19, Table 24",Official Maharashtra statistical booklet,0.5155367231638418,Peste des Petits Ruminants,16.0,708,365.0,0.7619047619047619,0.12747569319409435,0.6541218637992832,5,0.16666666666666666,-0.9790874524714829,0.010456273764258561,41.73103520062347,MODERATE
2015,2015-16,PPR,Sheep/Goat,21.0,526,198.0,Maharashtra Statistical Booklet 2015-16,Official Maharashtra statistical booklet,0.376425855513308,Peste des Petits Ruminants,21.0,526,198.0,1.0,0.094706517824991,0.3548387096774194,8,0.1111111111111111,-0.9790874524714829,0.010456273764258561,41.23566654348242,MODERATE
2018,2018-19,HS,Cattle/Buffalo,6.0,545,52.0,"Maharashtra Statistical Booklet 2018-19, Table 24",Official Maharashtra statistical booklet,0.0954128440366972,Haemorrhagic Septicaemia,6.0,545,52.0,0.5,0.5505050505050505,0.26666666666666666,5,0.16666666666666666,-1.0,0.0,36.5959595959596,MODERATE
2022,2022-23,BQ,Cattle/Buffalo,1.0,5,2.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,0.4,Black Quarter,1.0,5,2.0,0.5,0.29411764705882354,0.2,1,0.5,-1.0,0.0,33.852941176470594,MODERATE
2021,2021-22,BQ,Cattle/Buffalo,1.0,4,2.0,"Maharashtra Statistical Booklet 2021-22, Table 28",Official Maharashtra statistical booklet,0.5,Black Quarter,1.0,4,2.0,0.5,0.23529411764705882,0.2,2,0.3333333333333333,-1.0,0.0,29.88235294117647,MODERATE
